name,tags,data_cols,data_visits
parcels,"{'x': '-108', 'y': '73'}","['time', 'first']","[[1621368360000, 1]]"
parcels,"{'x': '-108', 'y': '75'}","['time', 'first']","[[1617788880000, 1]]"
parcels,"{'x': '-108', 'y': '76'}","['time', 'first']","[[1618775880000, 1], [1618856040000, 1], [1619907000000, 1], [1619907120000, 1]]"
parcels,"{'x': '-108', 'y': '77'}","['time', 'first']","[[1621054320000, 1]]"
parcels,"{'x': '-108', 'y': '78'}","['time', 'first']","[[1617405120000, 1], [1619523240000, 1], [1621054320000, 1], [1621188840000, 1]]"
parcels,"{'x': '-108', 'y': '79'}","['time', 'first']","[[1617442920000, 1]]"
parcels,"{'x': '-108', 'y': '8'}","['time', 'first']","[[1618561320000, 1], [1620509520000, 1]]"
parcels,"{'x': '-108', 'y': '80'}","['time', 'first']","[[1618284240000, 1]]"
parcels,"{'x': '-108', 'y': '803'}","['time', 'first']","[[1620863520000, 1]]"
parcels,"{'x': '-108', 'y': '81'}","['time', 'first']","[[1617442920000, 1], [1618027800000, 1], [1618284240000, 1], [1620910560000, 1]]"
parcels,"{'x': '-108', 'y': '82'}","['time', 'first']","[[1617374280000, 1], [1618389120000, 1], [1621085160000, 1], [1622169360000, 1]]"
parcels,"{'x': '-108', 'y': '83'}","['time', 'first']","[[1620286080000, 1]]"
parcels,"{'x': '-108', 'y': '86'}","['time', 'first']","[[1619642760000, 1], [1621298040000, 1], [1621298160000, 1]]"
parcels,"{'x': '-108', 'y': '87'}","['time', 'first']","[[1620071520000, 1]]"
parcels,"{'x': '-108', 'y': '89'}","['time', 'first']","[[1619720160000, 1]]"
parcels,"{'x': '-108', 'y': '90'}","['time', 'first']","[[1619891400000, 1]]"
parcels,"{'x': '-108', 'y': '91'}","['time', 'first']","[[1617468600000, 1], [1618459800000, 1], [1619644800000, 1]]"
parcels,"{'x': '-108', 'y': '93'}","['time', 'first']","[[1619924640000, 1]]"
parcels,"{'x': '-108', 'y': '934'}","['time', 'first']","[[1621082400000, 1]]"
parcels,"{'x': '-108', 'y': '937'}","['time', 'first']","[[1621082400000, 1]]"
parcels,"{'x': '-108', 'y': '94'}","['time', 'first']","[[1617891360000, 1], [1618389120000, 1]]"
parcels,"{'x': '-108', 'y': '95'}","['time', 'first']","[[1619787600000, 1], [1620193200000, 1]]"
parcels,"{'x': '-108', 'y': '97'}","['time', 'first']","[[1618853280000, 1], [1620071520000, 1], [1621085280000, 1]]"
parcels,"{'x': '-108', 'y': '973'}","['time', 'first']","[[1621082520000, 1]]"
parcels,"{'x': '-108', 'y': '975'}","['time', 'first']","[[1621082520000, 1]]"
parcels,"{'x': '-108', 'y': '978'}","['time', 'first']","[[1621082520000, 1]]"
parcels,"{'x': '-108', 'y': '98'}","['time', 'first']","[[1618389120000, 1], [1620262920000, 1]]"
