Date,Open,High,Low,Close,Adj Close,Volume
2015-06-26,15.230000,15.690000,15.000000,15.000000,6.500767,7284800
2015-06-29,15.000000,16.290001,14.850000,15.990000,6.929819,873700
2015-06-30,15.700000,15.980000,15.340000,15.510000,6.721795,558300
2015-07-01,15.400000,15.850000,15.150000,15.290000,6.626449,292900
2015-07-02,15.220000,15.630000,13.410000,14.810000,6.418425,412000
2015-07-06,14.790000,14.830000,14.110000,14.400000,6.240739,184000
2015-07-07,14.270000,14.690000,13.850000,14.600000,6.327414,183000
2015-07-08,14.190000,14.690000,13.860000,14.400000,6.240739,94300
2015-07-09,14.290000,14.740000,14.210000,14.290000,6.193065,294800
2015-07-10,14.400000,15.190000,14.400000,14.890000,6.453095,62400
2015-07-13,14.670000,14.950000,14.500000,14.760000,6.396756,69100
2015-07-14,14.840000,14.900000,14.500000,14.840000,6.431426,46500
2015-07-15,14.740000,14.900000,14.520000,14.660000,6.353417,37700
2015-07-16,14.980000,14.990000,14.535000,14.730000,6.383755,37700
2015-07-17,14.750000,15.500000,14.750000,15.460000,6.700127,189200
2015-07-20,15.430000,15.490000,14.900000,15.130000,6.557108,111200
2015-07-21,15.100000,16.000000,14.920000,15.780000,6.838808,294600
2015-07-22,15.750000,15.990000,15.250000,15.510000,6.721795,57900
2015-07-23,15.770000,15.900000,15.500000,15.560000,6.743464,64400
2015-07-24,15.490000,15.765000,15.090000,15.430000,6.687123,92600
2015-07-27,15.090000,15.350000,14.850000,14.980000,6.492100,60100
2015-07-28,14.930000,15.330000,14.900000,15.120000,6.552774,31700
2015-07-29,15.300000,15.530000,15.050000,15.530000,6.730460,196300
2015-07-30,15.480000,15.480000,15.080000,15.480000,6.708791,22000
2015-07-31,15.500000,15.950000,15.300000,15.950000,6.912484,63600
2015-08-03,15.770000,16.000000,15.150000,15.960000,6.916816,87000
2015-08-04,15.930000,15.960000,15.615000,15.660000,6.786802,120200
2015-08-05,15.580000,15.920000,14.850000,15.010000,6.505102,118400
2015-08-06,14.850000,15.570000,14.500000,14.870000,6.444429,61300
2015-08-07,14.800000,14.980000,14.696000,14.800000,6.414091,13200
2015-08-10,15.250000,15.300000,14.200000,15.230000,6.600446,136000
2015-08-11,15.240000,15.300000,14.000000,14.930000,6.470430,16100
2015-08-12,14.950000,15.090000,14.490000,14.930000,6.470430,38600
2015-08-13,14.990000,15.070000,14.615000,14.910000,6.461764,28200
2015-08-14,14.670000,15.040000,14.510000,14.900000,6.457428,93500
2015-08-17,15.020000,15.050000,14.750000,14.990000,6.496435,29700
2015-08-18,14.940000,14.990000,14.690000,14.770000,6.401090,63100
2015-08-19,14.810000,14.950000,14.700000,14.770000,6.401090,10200
