ds,avg_passenger_count,sum_passenger_count,log_sum_passenger_count,avg_trip_distance,sum_trip_distance,log_sum_trip_distance,avg_fare_amount,sum_fare_amount,log_sum_fare_amount,avg_tip_amount,sum_tip_amount,log_sum_tip_amount
2009-1-1,1.769557823,4162.0,3.619302076,2.896509354,6812.59,3.833312253,9.808120748,23068.7,4.363023121,0.310607993,730.55,2.863649945
2009-1-2,1.839427064,4880.0,3.688419822,2.634964191,6990.56,3.844511968,9.520825481,25258.75,4.402411854,0.32237844,855.27,2.932103239
2009-1-3,1.84313099,5769.0,3.761100539,2.719591054,8512.32,3.930047942,9.651789137,30210.1,4.480152163,0.369878594,1157.72,3.063603536
2009-1-4,1.782897306,4566.0,3.659535907,3.058335806,7832.398,3.893894748,10.25728231,26268.9,4.419441887,0.441948458,1131.83,3.053781201
2009-1-5,1.641287879,4333.0,3.636788689,2.763170455,7294.77,3.863011603,9.658068182,25497.3,4.406494194,0.422518939,1115.45,3.047450108
2009-1-6,1.652498378,5093.0,3.706973676,2.490735886,7676.448,3.885160312,9.225574302,28433.22,4.453826045,0.405373134,1249.36,3.096687597
2009-1-7,1.583333333,4104.0,3.613207352,2.495501543,6468.34,3.81079284,9.462121914,24525.82,4.389623537,0.478564815,1240.44,3.093575762
2009-1-8,1.661904762,5584.0,3.74694541,2.541017857,8537.82,3.931346994,9.498988095,31916.6,4.504016621,0.451782738,1517.99,3.181268911
2009-1-9,1.693609023,6307.0,3.799822831,2.433619764,9062.8,3.957262396,9.297690655,34624.6,4.539384765,0.464129968,1728.42,3.237649283
2009-1-10,1.795803783,6077.0,3.783689236,2.476755319,8381.34,3.923313459,8.946187943,30273.9,4.481068372,0.392600473,1328.56,3.123381173
2009-1-11,1.757002801,5018.0,3.700530657,2.856803221,8159.03,3.91163853,9.752240896,27852.4,4.444862624,0.49182423,1404.65,3.147568124
2009-1-12,1.591738382,4624.0,3.665017825,2.61670568,7601.53,3.880901014,9.580275387,27830.7,4.44452413,0.509638554,1480.5,3.170408412
2009-1-13,1.624007621,5114.0,3.708760724,2.495395364,7858.0,3.895312024,9.376182915,29525.6,4.470198732,0.46127342,1452.55,3.162131091
2009-1-14,1.636576103,5602.0,3.748343104,2.557604441,8754.68,3.942240276,9.552673094,32698.8,4.514531815,0.489599766,1675.9,3.224248101
2009-1-15,1.641481481,5540.0,3.743509765,2.020395556,6818.835,3.833710182,9.702607407,32746.3,4.515162236,0.558023704,1883.33,3.274926424
